Rspeed Rref Lspeed Lref Time
0.0 0.0 -0.9 0.0 0.828000
0.0 0.0 -0.9 0.0 0.831000
0.0 0.0 -0.9 0.0 0.835000
0.0 0.0 -0.0 0.0 0.837000
0.0 0.0 -0.9 0.0 0.840000
0.0 0.0 -1.8 0.0 0.843000
0.0 0.0 -1.8 0.0 0.846000
0.0 0.0 -1.8 0.0 0.849000
0.0 0.0 -0.9 0.0 0.852000
0.0 0.0 -0.9 0.0 0.855000
0.0 0.0 -0.9 0.0 0.859000
0.0 0.0 -0.0 0.0 0.861000
0.0 0.0 -0.0 0.0 0.864000
0.0 0.0 -0.0 0.0 0.867000
0.0 0.0 -0.0 0.0 0.869000
0.0 0.0 -0.0 0.0 0.872000
0.0 0.0 -0.0 0.0 0.875000
0.0 0.0 -0.0 0.0 0.878000
0.0 0.0 -0.0 0.0 0.881000
0.0 0.0 -0.9 0.0 0.883000
0.0 0.0 -0.9 0.0 0.886000
0.0 0.0 -0.9 0.0 0.889000
0.0 0.0 -1.8 0.0 0.891000
0.0 0.0 -0.9 0.0 0.894000
0.0 0.0 -0.9 0.0 0.896000
0.0 0.0 -0.9 0.0 0.899000
0.0 0.0 -0.0 0.0 0.901000
0.0 0.0 -0.0 0.0 0.904000
0.0 0.0 -0.0 0.0 0.907000
0.0 0.0 -0.0 0.0 0.910000
0.0 0.0 -0.0 0.0 0.913000
0.0 0.0 -0.0 0.0 0.916000
0.0 0.0 -0.0 0.0 0.919000
0.0 0.0 -0.0 0.0 0.921000
0.0 0.0 -0.9 0.0 0.924000
0.0 0.0 -1.8 0.0 0.927000
0.0 0.0 -0.9 0.0 0.929000
0.0 0.0 -0.9 0.0 0.932000
0.0 0.0 -1.8 0.0 0.934000
0.0 0.0 -0.9 0.0 0.936000
0.0 0.0 -1.8 0.0 0.939000
0.0 0.0 -1.8 0.0 0.942000
0.0 0.0 -0.9 0.0 0.944000
0.0 0.0 -0.0 0.0 0.947000
0.0 0.0 -0.0 0.0 0.949000
0.0 0.0 -0.0 0.0 0.952000
0.0 0.0 -0.0 0.0 0.954000
0.0 0.0 -0.0 0.0 0.956000
0.0 0.0 -0.0 0.0 0.959000
0.0 0.0 -0.0 0.0 0.962000
0.0 0.0 -0.0 0.0 0.964000
0.0 0.0 -0.0 0.0 0.967000
0.0 0.0 -0.0 0.0 0.969000
0.0 0.0 -0.0 0.0 0.972000
0.0 0.0 -0.9 0.0 0.975000
0.0 0.0 -0.9 0.0 0.977000
0.0 0.0 -0.9 0.0 0.980000
0.0 0.0 -0.9 0.0 0.982000
0.0 0.0 -0.9 0.0 0.985000
0.0 0.0 -0.9 0.0 0.988000
0.0 0.0 -1.8 0.0 0.991000
0.0 0.0 -0.9 0.0 0.993000
0.0 0.0 -0.9 0.0 0.996000
0.0 0.0 -0.0 0.0 0.998000
0.0 0.0 -0.0 0.0 1.000000
0.0 0.0 -0.0 0.0 1.003000
0.0 0.0 -0.0 0.0 1.006000
0.0 0.0 -0.0 0.0 1.008000
0.0 0.0 -0.0 0.0 1.010000
0.0 0.0 -0.0 0.0 1.013000
0.0 0.0 -0.0 0.0 1.016000
0.0 0.0 -0.0 0.0 1.019000
0.0 0.0 -0.0 0.0 1.022000
0.0 0.0 -0.0 0.0 1.025000
0.0 0.0 -0.0 0.0 1.027000
0.0 0.0 -0.0 0.0 1.031000
0.0 0.0 -0.0 0.0 1.033000
0.0 0.0 -0.0 0.0 1.036000
0.0 0.0 -0.0 0.0 1.039000
0.0 0.0 -0.0 0.0 1.042000
0.0 0.0 -0.0 0.0 1.045000
0.0 0.0 -0.0 0.0 1.050000
0.0 0.0 -0.0 0.0 1.054000
0.0 0.0 -0.0 0.0 1.058000
0.0 0.0 -0.0 0.0 1.062000
0.0 0.0 -0.0 0.0 1.066000
0.0 0.0 -0.0 0.0 1.071000
0.0 0.0 -0.0 0.0 1.075000
0.0 0.0 -0.0 0.0 1.079000
0.0 0.0 -0.0 0.0 1.084000
0.0 0.0 -0.0 0.0 1.088000
0.0 0.0 -0.0 0.0 1.092000
0.0 0.0 -0.0 0.0 1.096000
0.0 0.0 -0.0 0.0 1.100000
0.0 0.0 -0.0 0.0 1.104000
0.0 0.0 -0.0 0.0 1.108000
0.0 0.0 -0.0 0.0 1.113000
0.0 0.0 -0.0 0.0 1.117000
0.0 0.0 -0.0 0.0 1.121000
0.0 0.0 -0.0 0.0 1.125000
0.0 0.0 -0.0 0.0 1.128000
0.0 0.0 -0.0 0.0 1.131000
0.0 0.0 -0.0 0.0 1.135000
0.0 0.0 -0.0 0.0 1.138000
0.0 0.0 -0.0 0.0 1.141000
0.0 0.0 -0.0 0.0 1.145000
0.0 0.0 -0.0 0.0 1.148000
0.0 0.0 -0.0 0.0 1.151000
0.0 0.0 -0.0 0.0 1.155000
0.0 0.0 -0.0 0.0 1.160000
0.0 0.0 -0.0 0.0 1.164000
0.0 0.0 -0.0 0.0 1.168000
0.0 0.0 -0.0 0.0 1.172000
0.0 0.0 -0.0 0.0 1.176000
0.0 0.0 -0.0 0.0 1.181000
0.0 0.0 -0.0 0.0 1.184000
0.0 0.0 -0.0 0.0 1.188000
0.0 0.0 -0.0 0.0 1.193000
0.0 0.0 -0.0 0.0 1.196000
0.0 0.0 -0.0 0.0 1.201000
0.0 0.0 -0.0 0.0 1.205000
0.0 0.0 -0.0 0.0 1.209000
0.0 0.0 -0.0 0.0 1.213000
0.0 0.0 -0.0 0.0 1.217000
0.0 0.0 -0.0 0.0 1.222000
0.0 0.0 -0.0 0.0 1.226000
0.0 0.0 -0.0 0.0 1.229000
0.0 0.0 -0.0 0.0 1.232000
0.0 0.0 -0.0 0.0 1.235000
0.0 0.0 -0.0 0.0 1.239000
0.0 0.0 -0.0 0.0 1.242000
0.0 0.0 -0.0 0.0 1.245000
0.0 0.0 -0.0 0.0 1.248000
0.0 0.0 -0.0 0.0 1.251000
0.0 0.0 -0.0 0.0 1.254000
0.0 0.0 -0.0 0.0 1.258000
0.0 0.0 -0.0 0.0 1.262000
0.0 0.0 -0.0 0.0 1.266000
0.0 0.0 -0.0 0.0 1.271000
0.0 0.0 -0.0 0.0 1.274000
0.0 0.0 -0.0 0.0 1.278000
0.0 0.0 -0.0 0.0 1.282000
0.0 0.0 -0.0 0.0 1.287000
0.0 0.0 -0.0 0.0 1.291000
0.0 0.0 -0.0 0.0 1.295000
0.0 0.0 -0.0 0.0 1.299000
0.0 0.0 -0.0 0.0 1.303000
0.0 0.0 -0.0 0.0 1.308000
0.0 0.0 -0.0 0.0 1.311000
0.0 0.0 -0.0 0.0 1.314000
0.0 0.0 -0.0 0.0 1.317000
0.0 0.0 -0.0 0.0 1.320000
0.0 0.0 -0.0 0.0 1.324000
0.0 0.0 -0.0 0.0 1.329000
0.0 0.0 -0.0 0.0 1.332000
0.0 0.0 -0.0 0.0 1.336000
0.0 0.0 -0.0 0.0 1.340000
0.0 0.0 -0.0 0.0 1.344000
0.0 0.0 -0.0 0.0 1.348000
0.0 0.0 -0.0 0.0 1.352000
0.0 0.0 -0.0 0.0 1.356000
0.0 0.0 -0.0 0.0 1.360000
0.0 0.0 -0.0 0.0 1.364000
0.0 0.0 -0.0 0.0 1.369000
0.0 0.0 -0.0 0.0 1.373000
0.0 0.0 -0.0 0.0 1.377000
0.0 0.0 -0.0 0.0 1.381000
0.0 0.0 -0.0 0.0 1.385000
0.0 0.0 -0.0 0.0 1.389000
0.0 0.0 -0.0 0.0 1.393000
0.0 0.0 -0.0 0.0 1.398000
0.0 0.0 -0.0 0.0 1.401000
0.0 0.0 -0.0 0.0 1.405000
0.0 0.0 -0.0 0.0 1.409000
0.0 0.0 -0.0 0.0 1.413000
0.0 0.0 -0.0 0.0 1.418000
0.0 0.0 -0.0 0.0 1.422000
0.0 0.0 -0.0 0.0 1.426000
