X Y Theta dr dl Time
-1.379579 -0.914601 0.326263 -0.012839 -0.002209 10.336000
-1.387260 -0.917311 0.352265 -0.005246 -0.011045 10.387000
-1.394108 -0.919985 0.392197 -0.002899 -0.011804 10.437000
-1.402587 -0.923507 0.395292 -0.008836 -0.009526 10.486000
-1.410254 -0.926456 0.338955 -0.014496 -0.001933 10.538000
-1.417684 -0.928830 0.279522 -0.014427 -0.001173 10.589000
-1.423578 -0.930438 0.253210 -0.009043 -0.003175 10.640000
-1.430316 -0.932226 0.265592 -0.005591 -0.008353 10.697000
-1.436692 -0.934033 0.286641 -0.004280 -0.008974 10.747000
-1.444353 -0.936363 0.303976 -0.006075 -0.009940 10.798000
-1.454564 -0.939559 0.302738 -0.010838 -0.010561 10.847000
-1.462733 -0.942114 0.303357 -0.008491 -0.008629 10.902000
-1.469451 -0.944223 0.305214 -0.006834 -0.007248 10.951000
-1.475179 -0.946028 0.305214 -0.006006 -0.006006 11.002000
-1.483284 -0.948557 0.299642 -0.009112 -0.007869 11.052000
-1.493740 -0.951778 0.298094 -0.011114 -0.010769 11.107000
-1.502782 -0.954550 0.296856 -0.009595 -0.009319 11.156000
-1.509442 -0.956610 0.303047 -0.006282 -0.007662 11.211000
-1.515141 -0.958393 0.303357 -0.005937 -0.006006 11.259000
-1.523747 -0.961056 0.296856 -0.009733 -0.008283 11.314000
-1.532743 -0.963738 0.282617 -0.010976 -0.007800 11.363000
-1.540645 -0.965985 0.271473 -0.009457 -0.006972 11.418000
-1.548094 -0.968053 0.270235 -0.007869 -0.007593 11.466000
-1.555437 -0.970118 0.277974 -0.006765 -0.008491 11.521000
-1.563880 -0.972603 0.294380 -0.006972 -0.010630 11.571000
-1.572729 -0.975297 0.296856 -0.008974 -0.009526 11.620000
-1.580120 -0.977566 0.298714 -0.007524 -0.007938 11.675000
-1.586784 -0.979613 0.297475 -0.007110 -0.006834 11.723000
-1.595092 -0.982069 0.277355 -0.010907 -0.006420 11.773000
-1.604679 -0.984696 0.257544 -0.012149 -0.007731 11.828000
-1.613584 -0.986930 0.234018 -0.011804 -0.006558 11.877000
-1.621914 -0.988899 0.230303 -0.008974 -0.008145 11.932000
-1.629619 -0.990812 0.256305 -0.005039 -0.010838 11.980000
-1.637423 -0.992891 0.264354 -0.007179 -0.008974 12.035000
-1.645497 -0.995028 0.253210 -0.009595 -0.007110 12.085000
-1.653020 -0.996956 0.248567 -0.008283 -0.007248 12.134000
-1.660830 -0.999013 0.266521 -0.006075 -0.010078 12.188000
-1.668966 -1.001317 0.285403 -0.006351 -0.010561 12.238000
-1.678824 -1.004253 0.293451 -0.009388 -0.011183 12.288000
-1.687343 -1.006844 0.297166 -0.008491 -0.009319 12.332000
-1.693439 -1.008743 0.306762 -0.005315 -0.007455 12.390000
-1.699264 -1.010584 0.305214 -0.006282 -0.005937 12.442000
-1.707979 -1.013243 0.287260 -0.011114 -0.007110 12.496000
-1.717847 -1.016021 0.261568 -0.013116 -0.007386 12.545000
-1.726494 -1.018286 0.250734 -0.010147 -0.007731 12.600000
-1.733334 -1.020098 0.267140 -0.005246 -0.008905 12.650000
-1.740653 -1.022120 0.272092 -0.007041 -0.008145 12.701000
-1.751021 -1.025030 0.275188 -0.010423 -0.011114 12.752000
-1.760724 -1.027754 0.272092 -0.010423 -0.009733 12.803000
-1.768032 -1.029815 0.277664 -0.006972 -0.008214 12.858000
-1.773934 -1.031521 0.285093 -0.005315 -0.006972 12.907000
-1.782361 -1.033937 0.273331 -0.010078 -0.007455 12.956000
-1.791207 -1.036393 0.268378 -0.009733 -0.008629 13.011000
-1.798164 -1.038301 0.266830 -0.007386 -0.007041 13.059000
-1.804077 -1.039970 0.283546 -0.004280 -0.008007 13.115000
-1.813126 -1.042596 0.281379 -0.009664 -0.009181 13.160000
-1.823319 -1.045490 0.271783 -0.011666 -0.009526 13.211000
-1.832198 -1.048083 0.296547 -0.006489 -0.012011 13.267000
-1.838993 -1.050290 0.331526 -0.003244 -0.011045 13.316000
-1.846839 -1.053052 0.345455 -0.006765 -0.009871 13.371000
-1.856283 -1.056369 0.329978 -0.011735 -0.008283 13.422000
-1.865301 -1.059328 0.304285 -0.012356 -0.006627 13.472000
-1.873502 -1.062010 0.327811 -0.006006 -0.011252 13.521000
-1.880673 -1.064612 0.368362 -0.003106 -0.012149 13.576000
-1.890407 -1.068338 0.362790 -0.011045 -0.009802 13.625000
-1.899389 -1.071511 0.316358 -0.014703 -0.004349 13.680000
-1.907312 -1.074044 0.302428 -0.009871 -0.006765 13.728000
-1.915267 -1.076701 0.342360 -0.003935 -0.012839 13.783000
-1.923658 -1.079784 0.361861 -0.006765 -0.011114 13.832000
-1.931480 -1.082614 0.332454 -0.011597 -0.005039 13.887000
-1.938211 -1.084796 0.294380 -0.011321 -0.002830 13.937000
-1.946232 -1.087361 0.324716 -0.005039 -0.011804 13.985000
-1.954322 -1.090263 0.364028 -0.004211 -0.012977 14.040000
-1.965346 -1.094383 0.351337 -0.013185 -0.010354 14.089000
-1.974580 -1.097567 0.312643 -0.014082 -0.005453 14.144000
-1.981708 -1.099752 0.282307 -0.010838 -0.004073 14.194000
-1.988478 -1.101808 0.307381 -0.004280 -0.009871 14.242000
-1.995838 -1.104174 0.314810 -0.006903 -0.008560 14.297000
-2.006298 -1.107386 0.281069 -0.014703 -0.007179 14.346000
-2.015324 -1.109837 0.249186 -0.012908 -0.005798 14.395000
-2.022662 -1.111789 0.270854 -0.005177 -0.010009 14.451000
-2.029009 -1.113694 0.312334 -0.002002 -0.011252 14.499000
-2.037149 -1.116342 0.316667 -0.008076 -0.009043 14.554000
-2.047163 -1.119474 0.289427 -0.013530 -0.007455 14.603000
-2.056081 -1.121932 0.248567 -0.013806 -0.004694 14.653000
-2.063242 -1.123738 0.245471 -0.007731 -0.007041 14.708000
-2.069452 -1.125367 0.267759 -0.003935 -0.008905 14.757000
-2.076976 -1.127424 0.265901 -0.008007 -0.007593 14.811000
-2.086679 -1.129883 0.230613 -0.013944 -0.006075 14.860000
-2.095945 -1.131937 0.205540 -0.012287 -0.006696 14.915000
-2.102892 -1.133450 0.223493 -0.005108 -0.009112 14.965000
-2.108664 -1.134841 0.249495 -0.003037 -0.008836 15.014000
-2.117232 -1.136997 0.243304 -0.009526 -0.008145 15.069000
-2.127994 -1.139481 0.210492 -0.014703 -0.007386 15.118000
-2.137268 -1.141331 0.183252 -0.012494 -0.006420 15.170000
-2.143308 -1.142458 0.185729 -0.005867 -0.006420 15.221000
-2.149064 -1.143597 0.204921 -0.003728 -0.008007 15.272000
-2.157474 -1.145365 0.209564 -0.008076 -0.009112 15.323000
-2.168514 -1.147711 0.209254 -0.011321 -0.011252 15.373000
-2.178876 -1.149924 0.211421 -0.010354 -0.010838 15.428000
-2.187036 -1.151707 0.218850 -0.007524 -0.009181 15.476000
-2.193058 -1.153086 0.231542 -0.004763 -0.007593 15.527000
-2.199748 -1.154643 0.225660 -0.007524 -0.006213 15.582000
-2.207573 -1.156342 0.202135 -0.010630 -0.005384 15.631000
-2.217379 -1.158168 0.165918 -0.014013 -0.005937 15.686000
-2.226437 -1.159664 0.161584 -0.009664 -0.008698 15.735000
-2.233274 -1.160841 0.179228 -0.004970 -0.008905 15.785000
-2.241066 -1.162360 0.205849 -0.004970 -0.010907 15.836000
-2.250721 -1.164413 0.213278 -0.009043 -0.010700 15.887000
-2.260408 -1.166485 0.208016 -0.010492 -0.009319 15.939000
-2.268279 -1.168130 0.203992 -0.008491 -0.007593 15.990000
-2.274501 -1.169405 0.200277 -0.006765 -0.005937 16.045000
-2.281075 -1.170674 0.181085 -0.008836 -0.004556 16.094000
-2.289135 -1.172068 0.161584 -0.010354 -0.006006 16.149000
-2.298096 -1.173522 0.160036 -0.009250 -0.008905 16.199000
-2.306610 -1.174920 0.165608 -0.008007 -0.009250 16.247000
-2.314838 -1.176361 0.181085 -0.006627 -0.010078 16.303000
-2.324610 -1.178182 0.187276 -0.009250 -0.010630 16.355000
-2.334184 -1.179934 0.174894 -0.011114 -0.008353 16.406000
-2.341942 -1.181249 0.160655 -0.009457 -0.006282 16.458000
-2.348550 -1.182332 0.164370 -0.006282 -0.007110 16.509000
-2.356066 -1.183630 0.177680 -0.006144 -0.009112 16.555000
-2.365912 -1.185433 0.184490 -0.009250 -0.010769 16.611000
-2.375215 -1.187130 0.176442 -0.010354 -0.008560 16.660000
-2.381570 -1.188258 0.174894 -0.006627 -0.006282 16.715000
-2.386531 -1.189146 0.179228 -0.004556 -0.005522 16.764000
-2.396044 -1.190845 0.174275 -0.010216 -0.009112 16.813000
-2.406160 -1.192505 0.151059 -0.012839 -0.007662 16.870000
-2.413295 -1.193567 0.144559 -0.007938 -0.006489 16.920000
-2.420282 -1.194681 0.171489 -0.004073 -0.010078 16.969000
-2.428635 -1.196205 0.189443 -0.006489 -0.010492 17.020000
-2.438886 -1.198092 0.174585 -0.012080 -0.008767 17.070000
-2.449723 -1.199831 0.143630 -0.014427 -0.007524 17.126000
-2.456456 -1.200778 0.135891 -0.007662 -0.005937 17.175000
-2.463760 -1.201873 0.161893 -0.004487 -0.010285 17.230000
-2.472883 -1.203401 0.169942 -0.008353 -0.010147 17.280000
-2.483069 -1.205060 0.152917 -0.012218 -0.008422 17.328000
-2.491506 -1.206284 0.135272 -0.010492 -0.006558 17.383000
-2.498098 -1.207236 0.151678 -0.004832 -0.008491 17.432000
-2.506573 -1.208665 0.182324 -0.005177 -0.012011 17.486000
-2.516514 -1.210519 0.186348 -0.009664 -0.010561 17.537000
-2.525203 -1.212123 0.178919 -0.009664 -0.008007 17.586000
-2.530771 -1.213141 0.182633 -0.005246 -0.006075 17.640000
-2.535896 -1.214092 0.184181 -0.005039 -0.005384 17.689000
-2.545648 -1.215826 0.167775 -0.011735 -0.008076 17.744000
-2.555464 -1.217395 0.149202 -0.012011 -0.007869 17.794000
-2.562837 -1.218496 0.147345 -0.007662 -0.007248 17.843000
-2.570333 -1.219711 0.173966 -0.004625 -0.010561 17.897000
-2.578380 -1.221178 0.186657 -0.006765 -0.009595 17.946000
-2.588057 -1.222945 0.174585 -0.011183 -0.008491 18.001000
-2.597211 -1.224494 0.160655 -0.010838 -0.007731 18.050000
-2.603886 -1.225590 0.164989 -0.006282 -0.007248 18.104000
-2.610482 -1.226745 0.181704 -0.004832 -0.008560 18.154000
-2.620440 -1.228506 0.168394 -0.011597 -0.008629 18.204000
-2.630047 -1.230066 0.153536 -0.011390 -0.008076 18.259000
-2.639442 -1.231420 0.132796 -0.011804 -0.007179 18.308000
-2.647417 -1.232454 0.125057 -0.008905 -0.007179 18.357000
-2.655076 -1.233511 0.149202 -0.005039 -0.010423 18.412000
-2.664150 -1.234904 0.155393 -0.008491 -0.009871 18.461000
-2.673226 -1.236291 0.147964 -0.010009 -0.008353 18.515000
-2.681426 -1.237464 0.136201 -0.009595 -0.006972 18.564000
-2.689899 -1.238676 0.147964 -0.007248 -0.009871 18.619000
-2.698293 -1.239954 0.154155 -0.007800 -0.009181 18.667000
-2.707027 -1.241289 0.149202 -0.009388 -0.008283 18.722000
-2.715840 -1.242566 0.138677 -0.010078 -0.007731 18.772000
-2.723526 -1.243677 0.148273 -0.006696 -0.008836 18.821000
-2.731267 -1.244883 0.160965 -0.006420 -0.009250 18.876000
-2.741368 -1.246418 0.140535 -0.012494 -0.007938 18.925000
