Rspeed Rref Lspeed Lref Time
-0.0 0.0 28.0 30.0 3.772
-0.0 0.0 28.0 30.0 3.783
-0.0 0.0 27.2 30.0 3.794
-0.0 0.0 27.2 30.0 3.805
-0.9 0.0 27.2 30.0 3.816
-0.9 0.0 27.2 30.0 3.827
-0.9 0.0 35.1 30.0 3.839
-0.0 0.0 36.8 30.0 3.850
-0.0 0.0 28.0 30.0 3.861
-0.0 0.0 29.8 30.0 3.872
-0.9 0.0 28.0 30.0 3.883
-0.0 0.0 28.0 30.0 3.894
-0.0 0.0 28.0 30.0 3.905
-0.0 0.0 28.9 30.0 3.916
-0.9 0.0 27.2 30.0 3.927
-0.9 0.0 27.2 30.0 3.938
-0.0 0.0 35.9 30.0 3.949
0.9 0.0 36.8 30.0 3.960
-0.0 0.0 28.9 30.0 3.971
0.9 0.0 28.0 30.0 3.982
-0.0 0.0 28.9 30.0 3.994
-0.9 0.0 28.0 30.0 4.005
-0.0 0.0 28.9 30.0 4.016
-0.0 0.0 29.8 30.0 4.027
0.9 0.0 28.9 30.0 4.038
-0.9 0.0 28.0 30.0 4.049
0.9 0.0 27.2 30.0 4.060
-0.9 0.0 34.2 30.0 4.071
-0.0 0.0 37.7 30.0 4.082
0.9 0.0 28.9 30.0 4.093
-0.0 0.0 28.9 30.0 4.104
-0.0 0.0 27.2 30.0 4.115
-0.0 0.0 28.0 30.0 4.126
-0.0 0.0 35.1 30.0 4.138
-0.0 0.0 28.9 30.0 4.149
-0.0 0.0 28.9 30.0 4.160
-0.0 0.0 27.2 30.0 4.171
0.9 0.0 28.0 30.0 4.182
-0.0 0.0 35.9 30.0 4.193
-0.0 0.0 29.8 30.0 4.204
-0.0 0.0 28.9 30.0 4.215
0.9 0.0 27.2 30.0 4.226
-0.0 0.0 29.8 30.0 4.237
-0.0 0.0 35.1 30.0 4.248
-0.0 0.0 27.2 30.0 4.259
-0.9 0.0 29.8 30.0 4.271
-0.0 0.0 34.2 30.0 4.282
-0.0 0.0 28.0 30.0 4.293
-0.9 0.0 27.2 30.0 4.304
-0.9 0.0 27.2 30.0 4.315
-0.0 0.0 36.8 30.0 4.326
-0.0 0.0 38.6 30.0 4.337
-0.0 0.0 32.4 30.0 4.348
-0.0 0.0 29.8 30.0 4.359
0.9 0.0 27.2 30.0 4.370
-0.0 0.0 28.0 30.0 4.381
-0.0 0.0 28.0 30.0 4.392
-0.0 0.0 27.2 30.0 4.404
-0.9 0.0 27.2 30.0 4.415
-0.0 0.0 27.2 30.0 4.426
-0.0 0.0 26.3 30.0 4.437
0.9 0.0 35.9 30.0 4.448
-0.0 0.0 36.8 30.0 4.459
-0.0 0.0 31.6 30.0 4.470
-0.0 0.0 28.0 30.0 4.481
-0.9 0.0 28.9 30.0 4.492
-0.0 0.0 28.0 30.0 4.503
-0.0 0.0 28.9 30.0 4.514
-0.0 0.0 27.2 30.0 4.525
-0.0 0.0 27.2 30.0 4.536
-0.0 0.0 34.2 30.0 4.548
-0.0 0.0 37.7 30.0 4.559
-0.0 0.0 30.7 30.0 4.570
-0.0 0.0 27.2 30.0 4.581
-0.0 0.0 28.0 30.0 4.592
-0.0 0.0 27.2 30.0 4.603
-0.0 0.0 28.9 30.0 4.614
-0.0 0.0 28.0 30.0 4.625
0.9 0.0 27.2 30.0 4.636
-0.9 0.0 27.2 30.0 4.647
-0.0 0.0 33.3 30.0 4.658
-0.0 0.0 35.9 30.0 4.669
-0.0 0.0 28.0 30.0 4.680
-0.9 0.0 27.2 30.0 4.691
-0.0 0.0 27.2 30.0 4.703
-0.0 0.0 35.9 30.0 4.714
-0.9 0.0 36.8 30.0 4.725
-0.0 0.0 29.8 30.0 4.736
0.9 0.0 27.2 30.0 4.747
-0.0 0.0 27.2 30.0 4.758
